epochs,Full FT,Sub FT,NL,NL-FT,GA-l1,GA-l1-FT
49,39.08,39.278,16.478,37.592,-2.653,30.626
50,39.008,39.14,16.442,37.732,-12.03,31.546
51,39.024,39.181,16.458,37.953,1.272,29.57
52,39.207,39.224,16.472,37.519,2.357,31.744
53,39.119,39.179,16.444,38.097,16.186,31.813
